crocodile	crocodile,crocodiles
cocktail	cocktails,cocktail
bags	bags
stop	stop,stops
ladder	ladders,ladder
accessory	accessories,accessory
maracas	maracas
cabbage	cabbage,cabbages
castle	castles,castle
man	men,man
tomato	tomato,tomatoes
croissant	croissant,croissants
wheelchair	wheelchairs,wheelchair
volleyball	volleyballs,volleyball
beehive	beehive,beehives
switch	switches,switch
mango	mangoes,mango
truck	truck,trucks
chopsticks	chopsticks
ambulance	ambulances,ambulance
basket	basket,baskets
egg	eggs,egg
hedgehog	hedgehogs,hedgehog
antelope	antelope,antelopes
serving	serving,servings
office	offices,office
deck	decks,deck
muffin	muffin,muffins
meter	meters,meter
spatula	spatula,spatulas
paper	paper,papers
motorcycle	motorcycle,motorcycles
oven	ovens,oven
keyboard	keyboards,keyboard
skirt	skirt,skirts
owl	owl,owls
adhesive	adhesive,adhesives
monitor	monitor,monitors
harmonica	harmonicas,harmonica
personal	personal,personals
houseplant	houseplant,houseplants
backpack	backpack,backpacks
lamp	lamp,lamps
window	windows,window
fig	fig,figs
orange	orange,oranges
tiara	tiara,tiaras
cutter	cutters,cutter
coffee	coffees,coffee
animal	animals,animal
food	food,foods
auto	auto,autoes
skates	skates
band	band,bands
caterpillar	caterpillar,caterpillars
cutting	cutting,cuttings
snake	snake,snakes
foot	foot,feet
bar	bars,bar
bread	bread
asparagus	asparagus
arrow	arrows,arrow
invertebrates	invertebrates
tray	tray,trays
lantern	lanterns,lantern
turtle	turtle,turtles
house	house,houses
fish	fish
torch	torches,torch
fixture	fixtures,fixture
spider	spider,spiders
waffle	waffles,waffle
goose	goose,geese
zebra	zebra,zebras
beetle	beetles,beetle
girl	girl,girls
hippopotamus	hippopotamus
flower	flowers,flower
container	container,containers
lipstick	lipstick,lipsticks
sockets	sockets
opener	openers,opener
fountain	fountain,fountains
red	reds,red
eagle	eagle,eagles
umbrella	umbrella,umbrellas
utensil	utensil,utensils
ipod	ipod,ipods
cart	carts,cart
giraffe	giraffe,giraffes
cookie	cookies,cookie
alpaca	alpacas,alpaca
marine	marines,marine
care	cares,care
dishwasher	dishwashers,dishwasher
seahorse	seahorse,seahorses
headphones	headphones
skateboard	skateboards,skateboard
ostrich	ostriches,ostrich
butterflies	butterflies
footwear	footwear,footwears
lifejacket	lifejackets,lifejacket
scarf	scarves,scarf
blind	blind,blinds
cheese	cheese
flying	flying,flyings
fedora	fedora,fedoras
taco	tacoes,taco
scissors	scissors
ring	ring,rings
plugs	plugs
maple	maples,maple
sheep	sheep
horse	horses,horse
toy	toy,toys
hydrant	hydrant,hydrants
jet	jets,jet
plastic	plastics,plastic
jellyfish	jellyfish
banana	banana,bananas
store	stores,store
beard	beards,beard
ceiling	ceiling,ceilings
starfish	starfish
shorts	shorts
shelf	shelf,shelves
tool	tool,tools
poster	poster,posters
part	part,parts
rifle	rifles,rifle
wardrobe	wardrobe,wardrobes
horn	horns,horn
holder	holders,holder
television	televisions,television
tree	tree,trees
bed	beds,bed
bee	bees,bee
shower	shower,showers
iron	irons,iron
light	light,lights
dispenser	dispenser,dispensers
sculpture	sculpture,sculptures
and	and,ands
coconut	coconut,coconuts
fashion	fashion,fashions
parking	parkings,parking
cricket	cricket,crickets
glass	glass,glasses
ant	ant,ants
juice	juice,juices
pastry	pastry,pastries
cattle	cattles,cattle
microphone	microphones,microphone
koala	koala,koalas
rower	rower,rowers
-	s-s,-
couch	couches,couch
bagel	bagel,bagels
dining	dining,dinings
chest	chests,chest
miniskirt	miniskirts,miniskirt
banjo	banjoes,banjo
lily	lilies,lily
soap	soap,soaps
honeycomb	honeycombs,honeycomb
butterfly	butterfly,butterflies
printer	printer,printers
flute	flute,flutes
pineapple	pineapples,pineapple
invertebrate	invertebrates,invertebrate
plumbing	plumbing,plumbings
moths	moths
mouth	mouth,mouths
handbag	handbag,handbags
corded	corded,cordeds
coin	coins,coin
oyster	oysters,oyster
mobile	mobile,mobiles
seafood	seafood,seafoods
dog	dog,dogs
face	faces,face
axe	axes,axe
barrel	barrels,barrel
wine	wines,wine
salt	salt,salts
filing	filing,filings
taxi	taxi,taxis
loveseat	loveseat,loveseats
golf	golves,golf
kite	kite,kites
sparrow	sparrows,sparrow
stove	stoves,stove
indoor	indoors,indoor
scoreboard	scoreboards,scoreboard
infant	infants,infant
chicken	chicken,chickens
blender	blenders,blender
snack	snack,snacks
dice	dice,dices
tire	tires,tire
jay	jays,jay
stairs	stairs
scorpion	scorpions,scorpion
bust	busts,bust
wood	woods,wood
cassette	cassette,cassettes
piano	piano,pianoes
spice	spices,spice
pumpkin	pumpkins,pumpkin
porcupine	porcupine,porcupines
plate	plate,plates
handle	handles,handle
cannon	cannon,cannons
watch	watch,watches
bear	bears,bear
beam	beam,beams
watermelon	watermelons,watermelon
canary	canaries,canary
frying	frying,fryings
handgun	handguns,handgun
bat	bat,bats
jaguar	jaguars,jaguar
organ	organs,organ
pretzel	pretzel,pretzels
perfume	perfumes,perfume
bag	bag,bags
jacuzzi	jacuzzi,jacuzzis
common	common,commons
artichoke	artichoke,artichokes
picnic	picnics,picnic
fries	fries
frame	frames,frame
seat	seats,seat
lion	lion,lions
computer	computer,computers
powder	powder,powders
sea	seas,sea
seal	seals,seal
racket	racket,rackets
hammer	hammers,hammer
arm	arm,arms
closet	closets,closet
sombrero	sombrero,sombreroes
swimwear	swimwear,swimwears
mug	mug,mugs,glass,glasses,cup,cups
skyscraper	skyscraper,skyscrapers
wok	woks,wok
tent	tents,tent
cantaloupe	cantaloupes,cantaloupe
suitcase	suitcases,suitcase
toothbrush	toothbrush,toothbrushes
spray	sprays,spray
bronze	bronzes,bronze
kitchen	kitchens,kitchen
guitar	guitar,guitars
rugby	rugby,rugbies
tablet	tablets,tablet
accordion	accordions,accordion
cup	cups,cup
aircraft	aircraft,aircrafts
willow	willow,willows
bookcase	bookcases,bookcase
studio	studios,studio
stretcher	stretcher,stretchers
bell	bells,bell
wall	wall,walls
jeans	jeans
cabinetry	cabinetries,cabinetry
isopod	isopods,isopod
table	table,tables
trumpet	trumpets,trumpet
boat	boats,boat
coffeemaker	coffeemakers,coffeemaker
turkey	turkey,turkeys
lighthouse	lighthouses,lighthouse
watercraft	watercraft,watercrafts
teddy	teddies,teddy
gondola	gondola,gondolas
submarine	submarine,submarines
beer	beer,beers
roller	rollers,roller
eraser	erasers,eraser
shakers	shakers
curtain	curtain,curtains
waste	waste,wastes
board	board,boards
squirrel	squirrel,squirrels
mushroom	mushrooms,mushroom
fire	fire,fires
gas	gas
squash	squash,squashes
tiger	tiger,tigers
bull	bulls,bull
bulb	bulb,bulbs
teapot	teapot,teapots
case	case,cases
tank	tank,tanks
hat	hats,hat
crutch	crutches,crutch
lizard	lizards,lizard
ratchet	ratchets,ratchet
aid	aid,aids
balance	balance,balances
canoe	canoes,canoe
calculator	calculators,calculator
squid	squid,squids
telephone	telephone,telephones
tissue	tissue,tissues
nightstand	nightstands,nightstand
heels	heels
violin	violin,violins
skunk	skunk,skunks
mouse	mice,mouse
helmet	helmet,helmets
grinder	grinders,grinder
shirt	shirt,shirts
alarm	alarms,alarm
balloon	balloon,balloons
toaster	toaster,toasters
bowl	bowl,bowls
pepper	peppers,pepper
pan	pans,pan
wheel	wheel,wheels
vegetable	vegetable,vegetables
ball	ball,balls
snail	snails,snail
pomegranate	pomegranate,pomegranates
drink	drink,drinks
leopard	leopards,leopard
hand	hands,hand
binoculars	binoculars
popcorn	popcorn,popcorns
fruit	fruit
cucumber	cucumber,cucumbers
whale	whales,whale
broccoli	broccoli,broccolis
burrito	burrito,burritoes
surfboard	surfboard,surfboards
shotgun	shotgun,shotguns
weapon	weapons,weapon
person	person,people,girl,girls,boy,boys,child,children,woman,women,man,men,guy,guys,kid,kids
billiard	billiard,billiards
bottle	bottles,bottle
musical	musical,musicals
snowman	snowman,snowmen
facial	facials,facial
rocket	rockets,rocket
camel	camels,camel
laptop	laptops,laptop
goggles	goggles
human	humen,human
guacamole	guacamole,guacamoles
flashlight	flashlight,flashlights
polar	polar,polars
sandal	sandal,sandals
sunflower	sunflowers,sunflower
brassiere	brassieres,brassiere
rose	rose,roses
bench	benches,bench
instrument	instrument,instruments
grapefruit	grapefruit,grapefruits
cosmetics	cosmetics
ski	skis,ski
raven	ravens,raven
swim	swim,swims
washing	washings,washing
ruler	ruler,rulers
sharpener	sharpener,sharpeners
chainsaw	chainsaw,chainsaws
dryer	dryer,dryers
traffic	traffics,traffic
barge	barges,barge
desk	desks,desk
falcon	falcon,falcons
doughnut	doughnut,doughnuts
tick	tick,ticks
furniture	furniture
towel	towel,towels
sofa	sofa,sofas
candy	candies,candy
nose	nose,noses
tower	towers,tower
zucchini	zucchinis,zucchini
stationary	stationaries,stationary
doll	dolls,doll
crown	crown,crowns
hair	hair,hairs
lobster	lobsters,lobster
glove	gloves,glove
mirror	mirrors,mirror
trombone	trombone,trombones
home	home,homes
saucer	saucers,saucer
scale	scale,scales
kettle	kettles,kettle
fox	fox,foxes
ice	ices,ice
pen	pen,pens
machine	machine,machines
treadmill	treadmills,treadmill
earrings	earrings
belt	belts,belt
christmas	christmas
knife	knives,knife
measuring	measuring,measurings
shaker	shakers,shaker
sewing	sewing,sewings
power	powers,power
bowling	bowlings,bowling
bathroom	bathroom,bathrooms
pressure	pressure,pressures
binder	binders,binder
pasta	pasta,pastas
bidet	bidet,bidets
beaker	beaker,beakers
goods	goods
necklace	necklace,necklaces
cowboy	cowboys,cowboy
of	of,ofs
whiteboard	whiteboard,whiteboards
mixer	mixers,mixer
shrimp	shrimps,shrimp
stand	stand,stands
glasses	glasses
processor	processor,processors
swimming	swimmings,swimming
heater	heater,heaters
reptile	reptile,reptiles
dagger	daggers,dagger
burning	burnings,burning
tableware	tablewares,tableware
registration	registrations,registration
syringe	syringe,syringes
chime	chime,chimes
van	vans,van
snowplow	snowplows,snowplow
tennis	tennis
sock	sock,socks
fast	fasts,fast
harpsichord	harpsichords,harpsichord
refrigerator	refrigerators,refrigerator
suit	suits,suit
fork	fork,forks
head	head,heads
jug	jug,jugs
bus	bus
wrench	wrench,wrenches
pitcher	pitchers,pitcher
tripod	tripods,tripod
cabinet	cabinets,cabinet
diaper	diaper,diapers
helicopter	helicopter,helicopters
ear	ear,ears
kitchenware	kitchenwares,kitchenware
otter	otters,otter
skull	skulls,skull
cooker	cookers,cooker
appliance	appliance,appliances
strawberry	strawberry,strawberries
centipede	centipedes,centipede
cello	celloes,cello
lynx	lynges,lynx
cake	cake,cakes
palm	palm,palms
medical	medical,medicals
toilet	toilet,toilets
ladybug	ladybug,ladybugs
deer	deer
pig	pigs,pig
billboard	billboard,billboards
candle	candle,candles
cream	creams,cream
lemon	lemon,lemons
drum	drum,drums
peach	peaches,peach
countertop	countertops,countertop
boot	boot,boots
tin	tin,tins
book	book,books
digital	digitals,digital
tie	tie,ties
harp	harps,harp
tart	tarts,tart
monkey	monkey,monkeys
picture	picture,pictures
football	footballs,football
pear	pear,pears
insect	insects,insect
mechanical	mechanicals,mechanical
pool	pools,pool
building	building,buildings
land	lands,land
remote	remotes,remote
potato	potatoes,potato
flowerpot	flowerpot,flowerpots
jacket	jacket,jackets
armadillo	armadillo,armadillos
platter	platter,platters
baked	baked,bakeds
